id,fecha,idu
1,2007-09-03,1
2,2006-07-06,2
3,2001-04-11,3
4,2041-06-03,4
5,2050-06-27,5
6,2023-06-20,6
7,2008-07-19,7
8,2042-11-27,8
9,2050-01-19,9
10,2004-04-12,10
11,2002-02-03,11
12,2034-05-08,12
13,2032-01-10,13
14,2014-04-26,14
15,2039-07-19,15
16,2031-03-08,16
17,2011-07-24,17
18,2034-06-12,18
19,2008-03-01,19
20,2020-05-01,20
21,2040-10-29,21
22,2002-09-12,22
23,2038-05-20,23
24,2016-09-17,24
25,2033-08-01,25
26,2033-04-11,26
27,2040-05-23,27
28,2037-06-22,28
29,2017-08-09,29
30,2033-08-12,30
31,2031-04-28,31
32,2031-06-11,32
33,2040-07-22,33
34,2013-11-10,34
35,2005-06-11,35
36,2035-11-10,36
37,2023-11-09,37
38,2025-12-14,38
39,2008-10-07,39
40,2046-05-28,40
41,2004-04-30,41
42,2038-09-02,42
43,2003-11-07,43
44,2021-01-16,44
45,2035-01-28,45
46,2007-06-28,46
47,2013-03-19,47
48,2018-10-10,48
49,2046-01-08,49
50,2039-11-09,50
51,2040-03-01,51
52,2030-09-23,52
53,2048-02-14,53
54,2001-11-03,54
55,2009-09-22,55
56,2041-11-20,56
57,2031-05-11,57
58,2035-07-19,58
59,2044-12-08,59
60,2034-05-09,60
61,2039-09-22,61
62,2017-01-26,62
63,2007-11-02,63
64,2005-05-04,64
65,2026-10-14,65
66,2037-12-26,66
67,2007-05-10,67
68,2038-03-12,68
69,2047-02-16,69
70,2002-12-15,70
71,2017-11-26,71
72,2020-09-22,72
73,2013-07-09,73
74,2022-03-28,74
75,2010-01-22,75
76,2002-01-19,76
77,2005-09-24,77
78,2014-06-24,78
79,2036-05-23,79
80,2024-07-20,80
81,2019-04-03,81
82,2041-05-14,82
83,2043-07-24,83
84,2028-02-11,84
85,2026-02-02,85
86,2039-09-27,86
87,2010-07-03,87
88,2024-06-05,88
89,2047-02-07,89
90,2048-12-31,90
91,2023-09-20,91
92,2027-06-25,92
93,2038-11-27,93
94,2022-02-16,94
95,2001-01-14,95
96,2045-08-14,96
97,2021-10-08,97
98,2006-04-10,98
99,2033-05-01,99
100,2039-11-19,100
101,2016-05-11,101
102,2014-07-20,102
103,2015-02-26,103
104,2000-11-20,104
105,2027-03-05,105
106,2041-09-18,106
107,2011-10-10,107
108,2046-04-14,108
109,2019-03-04,109
110,2022-11-09,110
111,2013-09-30,111
112,2042-12-02,112
113,2003-06-11,113
114,2043-11-23,114
115,2028-04-01,115
116,2045-10-20,116
117,2014-09-24,117
118,2044-07-10,118
119,2032-11-15,119
120,2033-06-11,120
121,2017-02-08,121
122,2025-03-05,122
123,2016-03-25,123
124,2005-02-11,124
125,2005-01-19,125
126,2039-02-07,126
127,2041-08-20,127
128,2037-12-29,128
129,2015-03-30,129
130,2000-08-25,130
131,2015-09-28,131
132,2007-05-14,132
133,2025-12-05,133
134,2013-04-10,134
135,2024-05-13,135
136,2004-12-31,136
137,2027-03-10,137
138,2024-05-26,138
139,2033-10-05,139
140,2022-01-29,140
141,2015-10-05,141
142,2044-01-14,142
143,2022-05-14,143
144,2031-09-26,144
145,2049-11-12,145
146,2032-11-19,146
147,2050-08-28,147
148,2017-08-17,148
149,2032-09-24,149
150,2010-06-18,150
151,2006-11-01,151
152,2033-12-09,152
153,2029-03-29,153
154,2009-06-07,154
155,2041-03-20,155
156,2035-10-28,156
157,2042-03-04,157
158,2049-01-03,158
159,2044-10-01,159
160,2043-05-04,160
161,2039-04-03,161
162,2048-08-21,162
163,2013-07-17,163
164,2026-08-01,164
165,2017-07-31,165
166,2000-11-20,166
167,2040-09-21,167
168,2022-07-11,168
169,2026-08-16,169
170,2023-09-24,170
171,2031-11-10,171
172,2043-04-22,172
173,2008-07-01,173
174,2044-05-18,174
175,2049-02-23,175
176,2047-04-18,176
177,2013-12-08,177
178,2022-06-20,178
179,2038-03-17,179
180,2010-03-07,180
181,2036-01-26,181
182,2031-12-13,182
183,2047-03-24,183
184,2033-01-14,184
185,2033-11-18,185
186,2008-07-01,186
187,2012-10-24,187
188,2027-11-05,188
189,2033-03-31,189
190,2026-06-05,190
191,2010-05-10,191
192,2039-03-27,192
193,2045-01-14,193
194,2017-08-04,194
195,2041-08-14,195
196,2038-12-07,196
197,2010-04-06,197
198,2009-04-21,198
199,2024-11-09,199
200,2032-08-08,200
201,2011-08-06,201
202,2029-11-01,202
203,2027-12-15,203
204,2003-09-06,204
205,2047-11-05,205
206,2022-11-01,206
207,2010-03-20,207
208,2043-03-08,208
209,2011-12-26,209
210,2034-05-14,210
211,2034-02-01,211
