id,edad,idu,npmbreusuario
1,1249,1,nombre26989
2,97062,2,nombre70133
3,61055,3,nombre19682
4,11962,4,nombre72109
5,46789,5,nombre93548
6,82059,6,nombre57095
7,97676,7,nombre42390
8,5392,8,nombre57145
9,66304,9,nombre61384
10,20900,10,nombre18123
11,6550,11,nombre60719
12,44981,12,nombre74606
13,77745,13,nombre97293
14,22935,14,nombre44841
15,66191,15,nombre73361
16,80749,16,nombre58164
17,98669,17,nombre64754
18,2602,18,nombre92027
19,49973,19,nombre58268
20,96753,20,nombre96588
21,6437,21,nombre44021
22,28829,22,nombre9582
23,11772,23,nombre87317
24,1513,24,nombre34700
25,95853,25,nombre77742
26,97897,26,nombre14714
27,68459,27,nombre73565
28,65046,28,nombre13274
29,71498,29,nombre1970
30,41156,30,nombre84398
31,95719,31,nombre41391
32,58553,32,nombre8398
33,16407,33,nombre59897
34,99004,34,nombre4946
35,72111,35,nombre15780
36,64537,36,nombre86581
37,29563,37,nombre23915
38,18552,38,nombre74218
39,51250,39,nombre44273
40,27124,40,nombre32571
41,31383,41,nombre89811
42,40857,42,nombre7135
43,17559,43,nombre36466
44,27850,44,nombre53877
45,65766,45,nombre47012
46,60293,46,nombre92600
47,56776,47,nombre84660
48,17419,48,nombre57630
49,52805,49,nombre92854
50,35751,50,nombre6678
51,86807,51,nombre4553
52,46251,52,nombre67279
53,7520,53,nombre10197
54,96304,54,nombre26143
55,63812,55,nombre88031
56,11619,56,nombre76819
57,75718,57,nombre67385
58,47804,58,nombre54615
59,72843,59,nombre92590
60,53693,60,nombre94166
61,19032,61,nombre8382
62,19776,62,nombre15646
63,97102,63,nombre25002
64,83030,64,nombre66378
65,64078,65,nombre511
66,95319,66,nombre50353
67,64057,67,nombre96937
68,32895,68,nombre64511
69,43236,69,nombre9248
70,72292,70,nombre75953
71,79535,71,nombre84216
72,73268,72,nombre36759
73,8287,73,nombre28155
74,48315,74,nombre1114
75,23518,75,nombre12077
76,20456,76,nombre26614
77,55683,77,nombre48961
78,97497,78,nombre43952
79,1825,79,nombre52153
80,92110,80,nombre1189
81,41962,81,nombre39902
82,69258,82,nombre27704
83,1582,83,nombre47742
84,81862,84,nombre33868
85,16822,85,nombre23413
86,24960,86,nombre5937
87,28842,87,nombre28962
88,63756,88,nombre77839
89,83011,89,nombre90207
90,14172,90,nombre63132
91,14732,91,nombre58133
92,8813,92,nombre81891
93,98961,93,nombre28173
94,12178,94,nombre72229
95,54797,95,nombre67837
96,68546,96,nombre452
97,78990,97,nombre54242
98,49537,98,nombre1314
99,51560,99,nombre5087
100,79371,100,nombre93894
101,51465,101,nombre42656
102,31256,102,nombre13082
103,81479,103,nombre71123
104,23126,104,nombre95799
105,69902,105,nombre50540
106,64983,106,nombre73033
107,10055,107,nombre7890
108,55700,108,nombre34838
109,81622,109,nombre87643
110,50483,110,nombre8912
111,55037,111,nombre70371
112,43643,112,nombre7634
113,14776,113,nombre4689
114,63709,114,nombre31934
115,18433,115,nombre49273
116,17251,116,nombre60374
117,39607,117,nombre77782
118,42578,118,nombre27844
119,86920,119,nombre94562
120,16591,120,nombre54542
121,84283,121,nombre1533
122,31612,122,nombre41364
123,22208,123,nombre44142
124,81125,124,nombre57510
125,26879,125,nombre90439
126,53060,126,nombre3513
127,16469,127,nombre91510
128,3486,128,nombre65612
129,74370,129,nombre905
130,24268,130,nombre12037
131,90412,131,nombre8529
132,20106,132,nombre59039
133,27466,133,nombre68440
134,82472,134,nombre14334
135,97660,135,nombre51963
136,32238,136,nombre10234
137,76741,137,nombre75673
138,2417,138,nombre49907
139,46063,139,nombre26058
140,71429,140,nombre64444
141,19906,141,nombre50719
142,22690,142,nombre39925
143,76450,143,nombre94464
144,60109,144,nombre78524
145,52131,145,nombre97746
146,38858,146,nombre32640
147,54985,147,nombre65731
148,28253,148,nombre59445
149,75724,149,nombre45665
150,43581,150,nombre99747
151,49168,151,nombre91558
152,32141,152,nombre3767
153,3697,153,nombre72374
154,11449,154,nombre72380
155,93244,155,nombre42996
156,32074,156,nombre91289
157,82283,157,nombre23637
158,1724,158,nombre93312
159,43098,159,nombre74402
160,67608,160,nombre73254
161,30250,161,nombre28842
162,60349,162,nombre61768
163,11050,163,nombre76792
164,6562,164,nombre88386
165,78042,165,nombre35189
166,39653,166,nombre79066
167,48465,167,nombre66371
168,13796,168,nombre45241
169,33718,169,nombre17328
170,83762,170,nombre71813
171,63432,171,nombre51077
172,99825,172,nombre77699
173,44127,173,nombre21014
174,76195,174,nombre35240
175,6141,175,nombre7768
176,57127,176,nombre82187
177,1739,177,nombre80789
178,4996,178,nombre28392
179,56450,179,nombre26147
180,43287,180,nombre13298
181,96947,181,nombre55536
182,63323,182,nombre80855
183,94457,183,nombre81602
184,4978,184,nombre42005
185,97046,185,nombre71926
186,21966,186,nombre86150
187,7591,187,nombre4571
188,80144,188,nombre97409
189,96337,189,nombre15969
190,57595,190,nombre56696
191,73343,191,nombre27453
192,89464,192,nombre76123
193,16141,193,nombre43708
194,6928,194,nombre12658
195,55984,195,nombre43237
196,74422,196,nombre93155
197,86816,197,nombre83268
198,86899,198,nombre96325
199,1507,199,nombre14356
200,12466,200,nombre62002
201,67881,201,nombre23040
202,28242,202,nombre39297
203,3747,203,nombre54592
204,13591,204,nombre60130
205,69212,205,nombre75247
206,92184,206,nombre76717
207,12723,207,nombre16686
208,90050,208,nombre39033
209,41954,209,nombre82845
210,76151,210,nombre20508
211,21991,211,nombre21740
212,34540,212,nombre72620
213,38329,213,nombre42986
214,62023,214,nombre74671
215,89720,215,nombre17676
216,68093,216,nombre61055
217,51397,217,nombre73755
218,96356,218,nombre9203
219,26102,219,nombre83681
220,40082,220,nombre22876
221,10018,221,nombre28311
222,70903,222,nombre69261
223,7290,223,nombre47370
224,41575,224,nombre94363
225,83733,225,nombre87278
226,9861,226,nombre56424
227,79331,227,nombre61177
228,89939,228,nombre50137
229,10994,229,nombre34747
230,65314,230,nombre36647
231,64314,231,nombre63833
232,81084,232,nombre60679
