usuario,productoId,pago
1,64949,pago88503
2,60121,pago61890
3,84776,pago45971
4,7126,pago45886
5,38297,pago55513
6,38034,pago11884
7,11928,pago7701
8,52822,pago84893
9,90251,pago4406
10,30769,pago17268
11,73750,pago42155
12,7281,pago40285
13,38959,pago97068
14,6909,pago25588
15,40976,pago78305
16,2039,pago24358
17,97388,pago85266
18,63114,pago9431
19,64123,pago42336
20,50161,pago19991
21,98155,pago56274
22,11434,pago91993
23,9603,pago46975
24,12349,pago66606
25,59330,pago89976
26,62622,pago51692
27,21537,pago15679
28,11216,pago17308
29,45108,pago50863
30,99146,pago4984
31,15805,pago11171
32,2443,pago83034
33,19087,pago22186
34,65543,pago51933
35,34478,pago84
36,86116,pago85398
37,640,pago68074
38,94304,pago92891
39,69991,pago65673
40,66090,pago53579
41,76687,pago56555
42,11170,pago57280
43,80361,pago90581
44,77398,pago93751
45,36122,pago26115
46,10009,pago46149
47,81373,pago40172
48,28022,pago18889
49,40692,pago71140
50,93021,pago66342
51,49675,pago11882
52,1815,pago32278
53,56871,pago69401
54,7679,pago89883
55,52570,pago95742
56,3551,pago63366
57,59809,pago38637
58,24150,pago48477
59,57548,pago28532
60,27656,pago36628
61,3818,pago23796
62,70429,pago15729
63,87490,pago24568
64,89052,pago10070
65,77454,pago82212
66,36455,pago50026
67,6534,pago61633
68,74158,pago39648
69,6745,pago26783
70,93352,pago53773
71,2116,pago48815
72,28676,pago51033
73,30089,pago96699
74,39959,pago2816
75,81535,pago93502
76,88129,pago89964
77,36731,pago66967
78,52531,pago60895
79,41338,pago63412
80,61254,pago68631
81,21841,pago20227
82,63038,pago63121
83,44788,pago28056
84,33011,pago43886
85,88571,pago70931
86,35198,pago87175
87,33316,pago84340
88,48217,pago79928
89,43943,pago68702
90,46268,pago2650
91,86180,pago96987
92,49580,pago71809
93,3265,pago50871
94,26676,pago78145
95,51124,pago90058
96,13235,pago33049
97,31794,pago80537
98,78349,pago11933
99,8823,pago9719
100,35976,pago14407
101,32190,pago72326
102,50321,pago84890
103,80017,pago92460
104,68100,pago66642
105,68711,pago27845
106,85515,pago56732
107,42655,pago23061
108,4922,pago41196
109,12896,pago75068
110,89512,pago40328
111,38020,pago91889
112,55748,pago20813
113,85575,pago22961
114,46619,pago87301
115,13760,pago90016
116,84630,pago72120
117,75943,pago65316
118,9101,pago37625
119,16087,pago99
120,94752,pago150
121,27455,pago82439
122,52916,pago62764
123,55193,pago17438
124,73129,pago83723
125,92031,pago33321
126,15643,pago79352
127,83118,pago11677
128,59704,pago57955
129,14606,pago78125
130,63624,pago11116
131,60747,pago28367
132,90182,pago32802
133,15023,pago58491
134,4422,pago81070
135,14062,pago10702
136,89057,pago59363
137,47910,pago72490
138,82525,pago41624
139,78093,pago20586
140,49034,pago65423
141,16400,pago30772
142,25436,pago5032
143,89341,pago6591
144,25908,pago27762
145,90855,pago74695
146,17681,pago35253
147,69222,pago80269
148,69919,pago15544
149,40972,pago19485
150,4170,pago42140
151,48162,pago53171
152,89935,pago1834
153,77400,pago13767
154,53580,pago48766
155,34805,pago81281
156,70883,pago35186
157,75739,pago5712
158,58549,pago65536
159,13433,pago82942
160,60321,pago10750
161,10014,pago88048
162,87326,pago42034
163,39228,pago77732
164,26244,pago29467
165,56615,pago6583
166,88466,pago54218
167,41876,pago63034
168,93446,pago69707
169,38943,pago72163
170,18343,pago50908
171,19741,pago12502
172,99149,pago13770
173,8560,pago69369
174,49793,pago83160
175,55027,pago79018
176,59944,pago63968
177,11305,pago42507
178,18413,pago85276
179,32901,pago98230
180,39086,pago24063
181,8439,pago22820
182,69660,pago26964
183,3276,pago60095
184,53854,pago116
185,44658,pago54228
186,62802,pago91730
187,53175,pago43598
188,60428,pago76432
189,71956,pago44394
190,14961,pago78379
191,39097,pago90930
192,76810,pago26539
193,82726,pago27215
194,23665,pago32436
195,57688,pago96572
196,45428,pago1163
197,37587,pago60022
198,17952,pago6834
199,95860,pago82244
200,95661,pago91216
201,72036,pago67269
202,79402,pago51987
203,72705,pago89064
204,68983,pago33260
205,92952,pago70642
206,12436,pago28157
207,13853,pago40744
208,4944,pago82593
209,13404,pago25363
210,1813,pago79717
211,40550,pago37490
212,87422,pago38225
213,9157,pago56573
214,77099,pago84357
215,76336,pago27559
216,90214,pago51818
217,54732,pago6301
218,5965,pago4651
219,980,pago64760
220,47261,pago44736
221,68038,pago10727
222,66509,pago604
223,67427,pago42942
224,77116,pago67032
225,41105,pago81831
226,4980,pago39369
227,97400,pago96384
228,76280,pago15014
229,53496,pago91686
230,64359,pago71959
231,37829,pago87437
232,59827,pago98551
233,71505,pago37650
234,54547,pago95650
235,39507,pago30925
236,639,pago67911
237,17018,pago92025
238,29743,pago77245
239,20926,pago42588
240,59288,pago37704
241,23219,pago84782
242,5039,pago12505
243,67539,pago97411
244,39116,pago8355
245,94731,pago98682
246,30647,pago78664
247,69830,pago52054
248,72611,pago40738
249,69112,pago36431
250,1157,pago67015
251,311,pago47424
252,5800,pago26680
253,32012,pago53659
254,19606,pago32119
